# QBopomofo: Taiwan political figure names
#
# Sources:
# - Legislative Yuan Open Data Platform, dataset 16: 歷屆委員資料, term=11
#   https://data.ly.gov.tw/getds.action?id=16
#   License: Government Open Data License, version 1.0
# - QBopomofo manually curated high-profile Taiwan political figure seed list
#
# Generated by data-provider/tools/generate_tw_politicians.py
# Entries: 171

丁學忠,1000,ㄉㄧㄥ ㄒㄩㄝˊ ㄓㄨㄥ
于美人,1000,ㄩˊ ㄇㄟˇ ㄖㄣˊ
伍麗華,1000,ㄨˇ ㄌㄧˋ ㄏㄨㄚˊ
何欣純,1000,ㄏㄜˊ ㄒㄧㄣ ㄔㄨㄣˊ
侯友宜,1000,ㄏㄡˊ ㄧㄡˇ ㄧˊ
傅崐萁,1000,ㄈㄨˋ ㄎㄨㄣ ㄑㄧˊ
劉世芳,1000,ㄌㄧㄡˊ ㄕˋ ㄈㄤ
劉建國,1000,ㄌㄧㄡˊ ㄐㄧㄢˋ ㄍㄨㄛˊ
劉書彬,1000,ㄌㄧㄡˊ ㄕㄨ ㄅㄧㄣ
卓榮泰,1000,ㄓㄨㄛˊ ㄖㄨㄥˊ ㄊㄞˋ
吳宗憲,1000,ㄨˊ ㄗㄨㄥ ㄒㄧㄢˋ
吳思瑤,1000,ㄨˊ ㄙ ㄧㄠˊ
吳沛憶,1000,ㄨˊ ㄆㄟˋ ㄧˋ
吳琪銘,1000,ㄨˊ ㄑㄧˊ ㄇㄧㄥˊ
吳秉叡,1000,ㄨˊ ㄅㄧㄥˇ ㄖㄨㄟˋ
吳釗燮,1000,ㄨˊ ㄓㄠ ㄒㄧㄝˋ
呂玉玲,1000,ㄌㄩˇ ㄩˋ ㄌㄧㄥˊ
周春米,1000,ㄓㄡ ㄔㄨㄣ ㄇㄧˇ
宋楚瑜,1000,ㄙㄨㄥˋ ㄔㄨˇ ㄩˊ
廖偉翔,1000,ㄌㄧㄠˋ ㄨㄟˇ ㄒㄧㄤˊ
廖先翔,1000,ㄌㄧㄠˋ ㄒㄧㄢ ㄒㄧㄤˊ
張善政,1000,ㄓㄤ ㄕㄢˋ ㄓㄥˋ
張嘉郡,1000,ㄓㄤ ㄐㄧㄚ ㄐㄩㄣˋ
張宏陸,1000,ㄓㄤ ㄏㄨㄥˊ ㄌㄨˋ
張智倫,1000,ㄓㄤ ㄓˋ ㄌㄨㄣˊ
張雅琳,1000,ㄓㄤ ㄧㄚˇ ㄌㄧㄣˊ
張麗善,1000,ㄓㄤ ㄌㄧˋ ㄕㄢˋ
徐富癸,1000,ㄒㄩˊ ㄈㄨˋ ㄍㄨㄟˇ
徐巧芯,1000,ㄒㄩˊ ㄑㄧㄠˇ ㄒㄧㄣ
徐榛蔚,1000,ㄒㄩˊ ㄓㄣ ㄨㄟˋ
徐欣瑩,1000,ㄒㄩˊ ㄒㄧㄣ ㄧㄥˊ
朱立倫,1000,ㄓㄨ ㄌㄧˋ ㄌㄨㄣˊ
